CNNVD,VEDAS
CNNVD-202507-366,0.6578571
CNNVD-202507-365,0.1860756
CNNVD-202507-364,0.1876798
CNNVD-202507-363,0.1860871
CNNVD-202507-362,0.1860813
CNNVD-202507-361,0.1877258
CNNVD-202507-360,0.1860526
CNNVD-202507-359,0.1863339
CNNVD-202507-358,0.1877315
CNNVD-202507-357,0.1860727
CNNVD-202507-356,0.1861129
CNNVD-202507-355,0.1860699
CNNVD-202507-354,0.1861243
CNNVD-202507-353,0.1860727
CNNVD-202507-352,0.1861243
CNNVD-202507-351,0.1860727
CNNVD-202507-350,0.1860727
CNNVD-202507-349,0.1861215
CNNVD-202507-348,0.1860641
CNNVD-202507-347,0.1860727
CNNVD-202507-346,0.1864028
CNNVD-202507-345,0.1878377
CNNVD-202507-344,0.1860641
CNNVD-202507-343,0.186067
CNNVD-202507-342,0.1860727
CNNVD-202507-341,0.1860727
CNNVD-202507-340,0.1860727
CNNVD-202507-339,0.186067
CNNVD-202507-338,0.6578571
CNNVD-202507-337,0.189089
CNNVD-202507-336,0.1828728
CNNVD-202507-335,0.186067
CNNVD-202507-334,0.1860641
CNNVD-202507-333,0.1876569
CNNVD-202507-332,0.1888163
CNNVD-202507-325,0.1901135
CNNVD-202507-324,0.3334265
CNNVD-202507-323,0.3322846
CNNVD-202507-322,0.1902656
CNNVD-202507-321,0.3334265
CNNVD-202507-320,0.3489598
CNNVD-202507-319,0.1916671
CNNVD-202507-318,0.6970498
CNNVD-202507-317,0.1919933
CNNVD-202507-316,0.791763
CNNVD-202507-315,0.1866811
CNNVD-202507-314,0.1889569
CNNVD-202507-313,0.1729728
CNNVD-202507-312,0.2759935
CNNVD-202507-311,0.2440254
CNNVD-202507-310,0.1739862
CNNVD-202507-309,0.2440174
CNNVD-202507-308,0.1893013
CNNVD-202507-307,0.1876827
CNNVD-202507-306,0.1893386
CNNVD-202507-305,0.1893386
CNNVD-202507-304,0.1904101
CNNVD-202507-303,0.3333422
CNNVD-202507-302,0.1876655
CNNVD-202507-301,0.1893214
CNNVD-202507-300,0.3323209
CNNVD-202507-299,0.6578571
CNNVD-202507-298,0.1730532
CNNVD-202507-297,0.1777077
CNNVD-202507-296,0.1730446
CNNVD-202507-295,0.3564832
CNNVD-202507-294,0.1894333
CNNVD-202507-293,0.1730532
CNNVD-202507-292,0.1730446
CNNVD-202507-291,0.6578571
CNNVD-202507-290,0.3539833
CNNVD-202507-289,0.3509687
CNNVD-202507-288,0.1860842
CNNVD-202507-287,0.186067
CNNVD-202507-286,0.1869021
CNNVD-202507-285,0.1896888
CNNVD-202507-284,0.1877258
CNNVD-202507-283,0.1860756
CNNVD-202507-282,0.1754129
CNNVD-202507-281,0.1753296
CNNVD-202507-280,0.191364
CNNVD-202507-279,0.1753468
CNNVD-202507-278,0.1753239
CNNVD-202507-277,0.1753411
CNNVD-202507-276,0.1877258
CNNVD-202507-275,0.1755104
CNNVD-202507-274,0.1754043
CNNVD-202507-273,0.1754129
CNNVD-202507-272,0.1758765
CNNVD-202507-271,0.1754301
CNNVD-202507-270,0.1754014
CNNVD-202507-269,0.1753555
CNNVD-202507-268,0.1753468
CNNVD-202507-267,0.1754301
CNNVD-202507-266,0.1759569
CNNVD-202507-265,0.1755104
CNNVD-202507-264,0.1754186
CNNVD-202507-263,0.1754043
CNNVD-202507-262,0.1758995
CNNVD-202507-261,0.187631
CNNVD-202507-260,0.187631
CNNVD-202507-259,0.1903182
CNNVD-202507-258,0.1932095
CNNVD-202507-257,0.1892525
CNNVD-202507-256,0.1916633
CNNVD-202507-255,0.192782
CNNVD-202507-254,0.1903182
CNNVD-202507-253,0.1903182
CNNVD-202507-252,0.192782
CNNVD-202507-251,0.1916633
CNNVD-202507-250,0.1921326
CNNVD-202507-249,0.1903182
CNNVD-202507-248,0.1924898
CNNVD-202507-247,0.1916633
CNNVD-202507-246,0.1903182
CNNVD-202507-245,0.1925214
CNNVD-202507-244,0.1921326
CNNVD-202507-243,0.1916346
CNNVD-202507-242,0.192782
CNNVD-202507-241,0.1910864
CNNVD-202507-240,0.1921326
CNNVD-202507-239,0.1903182
