BDU,VEDAS
BDU:2014-00223,0.0
BDU:2014-00082,0.0
BDU:2014-00078,-6.070000000002462e-05
BDU:2014-00115,0.0
BDU:2014-00234,0.0
BDU:2014-00121,0.0
BDU:2014-00244,0.0
BDU:2015-00050,0.0
BDU:2014-00249,-1.4999999999876223e-06
BDU:2015-00058,0.0
BDU:2014-00126,0.0
BDU:2014-00241,0.0
BDU:2015-00065,0.0
BDU:2014-00081,0.0
BDU:2014-00079,-6.070000000002462e-05
BDU:2014-00248,-1.4999999999876223e-06
BDU:2015-00077,-2.2000000000077513e-06
BDU:2014-00255,0.0
BDU:2014-00243,0.0
BDU:2015-00061,0.0
BDU:2015-00068,0.0
BDU:2014-00133,-2.1999999999799957e-06
BDU:2014-00131,-5.00000000069889e-07
BDU:2015-00064,0.0
BDU:2014-00141,0.0
BDU:2014-00124,-4.0000000001150227e-07
BDU:2015-00084,-2.2000000000077513e-06
BDU:2014-00087,-2.1000000000048757e-06
BDU:2014-00083,-2.2000000000077513e-06
BDU:2015-00078,-2.1000000000048757e-06
BDU:2014-00142,-5.999999999617422e-07
BDU:2015-00063,0.0
BDU:2015-00086,-2.1000000000048757e-06
BDU:2015-00079,-2.2000000000077513e-06
BDU:2014-00251,-1.4999999999876223e-06
BDU:2014-00254,-1.4999999999876223e-06
BDU:2014-00090,-6.069999999996911e-05
BDU:2014-00132,0.0
BDU:2014-00233,0.0
BDU:2014-00085,-1.600000000046009e-06
BDU:2014-00134,0.0
BDU:2014-00070,-6.060000000002175e-05
BDU:2014-00044,0.0
BDU:2014-00242,0.0
BDU:2015-00062,0.0
BDU:2014-00135,0.0
BDU:2014-00075,-6.0599999999966236e-05
BDU:2015-00069,0.0
BDU:2014-00245,0.0
BDU:2014-00138,1.2999999999818712e-06
BDU:2015-00080,-2.1000000000048757e-06
BDU:2014-00250,-1.4999999999876223e-06
BDU:2014-00073,-6.069999999996911e-05
BDU:2014-00084,-1.2000000000345068e-06
BDU:2015-00075,0.0
BDU:2014-00094,-6.0599999999966236e-05
BDU:2014-00273,0.0
BDU:2014-00262,0.0
BDU:2015-00085,-2.2000000000077513e-06
BDU:2014-00253,-1.4999999999876223e-06
BDU:2014-00150,1.0000000000287557e-07
BDU:2015-00082,-2.2000000000077513e-06
BDU:2015-00055,0.0
BDU:2014-00247,-1.4999999999876223e-06
BDU:2014-00264,0.0
BDU:2014-00258,0.0
BDU:2014-00272,0.0
BDU:2014-00088,-2.1000000000048757e-06
BDU:2014-00086,-2.2000000000077513e-06
BDU:2014-00238,0.0
BDU:2015-00072,0.0
BDU:2014-00154,1.0000000000287557e-07
BDU:2014-00157,-5.999999999617422e-07
BDU:2014-00256,0.0
BDU:2015-00094,-3.000000000086267e-07
BDU:2014-00263,0.0
BDU:2014-00265,-1.4999999999876223e-06
BDU:2014-00139,1.0000000000287557e-07
BDU:2014-00162,0.0
BDU:2015-00076,0.0
BDU:2014-00129,0.0
BDU:2014-00125,0.0
BDU:2014-00147,0.0
BDU:2014-00260,0.0
BDU:2014-00140,0.0
BDU:2014-00271,0.0
BDU:2014-00177,0.0
BDU:2014-00137,-5.999999999617422e-07
BDU:2014-00145,-2.2000000000077513e-06
BDU:2014-00261,0.0
BDU:2014-00095,-6.060000000002175e-05
BDU:2014-00252,-1.4999999999876223e-06
BDU:2015-00070,0.0
